,,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
payment_year,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,UnRedeemed
county,vocationaluse,,,,,,,,,,,,,,
Orange County,Truck - Box,,,25000.0,1883000.0,566000.0,685000.0,719000.0,230000.0,481000.0,75000.0,90000.0,,,997500.0
Orange County,Truck - Straight,,1105000.0,,,,,,,,,,,,300000.0
Orange County,Truck - Tractor,175000.0,1085000.0,,,,,,,,825000.0,195000.0,,,4145000.0
Orange County,※ Infrastructure,,,,,,,,,,58900.0,55450.0,,,627000.0
Placer County,Bus - Heavy Duty/Transit,,,,,,,,,,,,,,775000.0
Placer County,Bus - Medium Duty,,,,,,,,,,,160000.0,,,
Placer County,Bus - School,,,,,,,,,,440000.0,460000.0,,,3766250.0
Placer County,Misc / other,,,,,,,50000.0,,,,86000.0,,,32000.0
Placer County,Panel/ Step/ Cargo Van,,,,,,,,,,,,1200000.0,,138000.0
Placer County,Truck - Box,,,,,,,,,,,,,,425000.0
Placer County,Truck - Straight,,,,,,,,,,,,,,198000.0
Placer County,Truck - Tractor,,,,,,,,,,,,,,276000.0
Placer County,※ Infrastructure,,,,,,,,,,,92740.0,,55278.9,
Plumas County,Truck - Box,,25000.0,,,,,,,,,,,,
Riverside County,Bus - Heavy Duty/Transit,,,,,,,,,1500000.0,340000.0,350000.0,,,1290000.0
Riverside County,Bus - Medium Duty,,,,,,,,,,,90000.0,,,165000.0
Riverside County,Bus - School,,,,,,,,,520000.0,240000.0,,,,7126200.0
Riverside County,Misc / other,80000.0,,,,,,,,30000.0,,149000.0,,,82000.0
Riverside County,Panel/ Step/ Cargo Van,,100000.0,,,,,,,,6000.0,6000.0,,,1800000.0
Riverside County,Truck - Box,,25000.0,,581000.0,243000.0,266000.0,279000.0,23000.0,53000.0,135000.0,,,,280500.0
Riverside County,Truck - Tractor,880000.0,225000.0,,,,,,,510000.0,330000.0,3700000.0,270000.0,,12408000.0
Riverside County,※ Infrastructure,,,,,,,,,,6000.0,682530.0,,,
Sacramento County,Bus - Heavy Duty/Transit,,,,,,,,,,600000.0,900000.0,,,82013.0
Sacramento County,Bus - Medium Duty,,,25000.0,,,,,,,390000.0,450000.0,,,543653.5
Sacramento County,Bus - School,,,,,,,,,,2055000.0,,3300000.0,,16818413.0
Sacramento County,Misc / other,,,,127000.0,,96000.0,,,178000.0,446000.0,549000.0,,,744000.0
Sacramento County,Panel/ Step/ Cargo Van,,600000.0,,,,,,,,,,180000.0,,921197.0
Sacramento County,Truck - Box,100000.0,,45000.0,,109000.0,,46000.0,,,100000.0,810000.0,,,4829000.0
Sacramento County,Truck - Tractor,,675000.0,,,,,,,,340000.0,,,,966039.0
Sacramento County,※ Infrastructure,,,,,,,,,,,108490.0,,,224153.0
San Benito County,Bus - School,,,,,,,,,,,220000.0,,,1471500.0
San Bernardino County,Bus - Heavy Duty/Transit,,,,,,,,,,255000.0,1092000.0,,,1236000.0
San Bernardino County,Bus - Medium Duty,,,,,,,,90000.0,,90000.0,90000.0,660000.0,,450000.0
San Bernardino County,Bus - School,,,,,,,,,,260000.0,1190000.0,,,4208250.0
San Bernardino County,Misc / other,,,,,,,,731000.0,50000.0,600000.0,141000.0,,,1468000.0
San Bernardino County,Panel/ Step/ Cargo Van,,900000.0,450000.0,1435000.0,,,,,,,,,,7190500.0
San Bernardino County,Truck - Box,75000.0,100000.0,320000.0,757000.0,461000.0,911000.0,138000.0,185000.0,145000.0,30000.0,,,,1411500.0
San Bernardino County,Truck - Straight,200000.0,,,,,,,,,,,,,1945000.0
San Bernardino County,Truck - Tractor,490000.0,,,,,,,,870000.0,2610000.0,4160000.0,,,50233000.0
San Bernardino County,※ Infrastructure,,,,,,,,,,210000.0,149912.0,456325.0,,29450.0
San Diego County,Bus - Heavy Duty/Transit,,,,,,,,,,140000.0,990000.0,,,3312000.0
San Diego County,Bus - Medium Duty,,,,,,120000.0,60000.0,,,180000.0,1530000.0,180000.0,,2362500.0
San Diego County,Bus - School,,,,,,,,,,1100000.0,,,,13287000.0
San Diego County,Misc / other,,,,,,,,301500.0,130500.0,66000.0,12000.0,292000.0,,565000.0
San Diego County,Panel/ Step/ Cargo Van,,150000.0,85000.0,,,,,60000.0,170000.0,550000.0,281000.0,,,2659000.0
San Diego County,Truck - Box,55000.0,75000.0,,2582000.0,840000.0,1151000.0,941000.0,389000.0,647000.0,30000.0,60000.0,,,5695500.0
San Diego County,Truck - Straight,,200000.0,,,,,,,,,,,,995000.0
San Diego County,Truck - Tractor,350000.0,510000.0,,,,,,,160000.0,,90000.0,90000.0,,1140000.0
San Diego County,※ Infrastructure,,,,,,,,,,,180000.0,,,1094000.0
San Francisco County,Bus - Heavy Duty/Transit,,,,,,,,,,1525000.0,,,,2814000.0
San Francisco County,Bus - Medium Duty,,,,,,,120000.0,,,180000.0,,,,
San Francisco County,Misc / other,30000.0,,,,,,,1108000.0,528000.0,,12000.0,,,
San Francisco County,Panel/ Step/ Cargo Van,,,25000.0,350000.0,,,,,270000.0,,,,,775000.0
San Francisco County,Truck - Box,25000.0,25000.0,20000.0,74000.0,23000.0,294000.0,230000.0,23000.0,,15000.0,,,,
San Francisco County,Truck - Straight,,,,37000.0,,,,,,,,,,
San Francisco County,Truck - Tractor,105000.0,,35000.0,,,,,,,165000.0,,,,
San Francisco County,※ Infrastructure,,,,,,,,,,,6000.0,,,
San Joaquin County,Bus - Heavy Duty/Transit,,,,,,,,1070000.0,,825000.0,,,,
San Joaquin County,Bus - School,,,,,,,,,,,,,,3780000.0
San Joaquin County,Misc / other,,,,90000.0,,,,,,,18000.0,,,
San Joaquin County,Panel/ Step/ Cargo Van,,45000.0,80000.0,,,,,,,,,,,282500.0
San Joaquin County,Truck - Box,,,,225000.0,223000.0,,69000.0,23000.0,18000.0,,,,,654500.0
San Joaquin County,Truck - Straight,,,,,,,,,,,,,,414000.0
San Joaquin County,Truck - Tractor,245000.0,,,105000.0,,,,,175000.0,2005000.0,,660000.0,,12570000.0
San Joaquin County,※ Infrastructure,,,,,,,,,,208350.0,,118900.0,,
San Luis Obispo County,Bus - Heavy Duty/Transit,,,,,,,,,,,,,,276000.0
San Luis Obispo County,Bus - School,,,,,,,,,,,220000.0,,,478500.0
San Luis Obispo County,Misc / other,,,,,,,,,32000.0,50000.0,156000.0,550000.0,,
San Luis Obispo County,Truck - Box,,25000.0,25000.0,25000.0,97000.0,23000.0,64000.0,46000.0,84000.0,,,,,
San Mateo County,Bus - Heavy Duty/Transit,,,,,,,,,,350000.0,3694000.0,2005000.0,,3834000.0
San Mateo County,Bus - Medium Duty,,,,,,180000.0,,,120000.0,80000.0,,,,2100000.0
San Mateo County,Bus - School,,,,,,,,,,,,,,396000.0
San Mateo County,Misc / other,,25000.0,,,,50000.0,,,,70000.0,186000.0,45000.0,,123000.0
San Mateo County,Panel/ Step/ Cargo Van,,75000.0,20000.0,415000.0,,60000.0,,,,150000.0,,,,2060000.0
San Mateo County,Truck - Box,,,,244000.0,46000.0,92000.0,161000.0,18000.0,,,,,,319000.0
San Mateo County,※ Infrastructure,,,,,,,,,,,180000.0,300000.0,,
Santa Barbara County,Bus - Heavy Duty/Transit,,,,,,,,,,,1444000.0,,,1932000.0
Santa Barbara County,Bus - Medium Duty,,,,,,,,,90000.0,,,,,60000.0
